date,fighter_id,fighter_name,weight_class,elo_score
1994-03-11,be9d259be012e8a4,Scott Morris,p4p,1020.8
1994-03-11,a683f9ddb70aa4bd,Sean Daugherty,p4p,968.8
1994-03-11,be9d259be012e8a4,Scott Morris,open weight,1020.8
1994-03-11,a683f9ddb70aa4bd,Sean Daugherty,open weight,968.8
1994-03-11,429e7d3725852ce9,Royce Gracie,p4p,1020.8
1994-03-11,46c8ec317aff28ac,Patrick Smith,p4p,968.8
1994-03-11,429e7d3725852ce9,Royce Gracie,ufc 2 tournament title bout,1020.8
1994-03-11,46c8ec317aff28ac,Patrick Smith,ufc 2 tournament title bout,968.8
1994-03-11,429e7d3725852ce9,Royce Gracie,p4p,1040.36
1994-03-11,749685d24e2cac50,Remco Pardoel,p4p,970.67
1994-03-11,429e7d3725852ce9,Royce Gracie,open weight,1020.8
1994-03-11,749685d24e2cac50,Remco Pardoel,open weight,968.8
1994-03-11,46c8ec317aff28ac,Patrick Smith,p4p,991.46
1994-03-11,319fa1bd3176bded,Johnny Rhodes,p4p,966.01
1994-03-11,46c8ec317aff28ac,Patrick Smith,open weight,1020.8
1994-03-11,319fa1bd3176bded,Johnny Rhodes,open weight,968.8
1994-03-11,429e7d3725852ce9,Royce Gracie,p4p,1058.75
1994-03-11,6ceff86fae4f6b3b,Jason DeLucia,p4p,972.41
1994-03-11,429e7d3725852ce9,Royce Gracie,open weight,1040.36
1994-03-11,6ceff86fae4f6b3b,Jason DeLucia,open weight,970.67
1994-03-11,749685d24e2cac50,Remco Pardoel,p4p,993.22
1994-03-11,a6c2f5381d575920,Orlando Wiet,p4p,966.17
1994-03-11,749685d24e2cac50,Remco Pardoel,open weight,991.46
1994-03-11,a6c2f5381d575920,Orlando Wiet,open weight,966.01
1994-03-11,319fa1bd3176bded,Johnny Rhodes,p4p,988.83
1994-03-11,8d5daf67983b65ba,Fred Ettish,p4p,965.76
1994-03-11,319fa1bd3176bded,Johnny Rhodes,open weight,991.46
1994-03-11,8d5daf67983b65ba,Fred Ettish,open weight,966.01
1994-03-11,46c8ec317aff28ac,Patrick Smith,p4p,1012.77
1994-03-11,ea0ad155451ed1f5,Ray Wizard,p4p,968.03
1994-03-11,46c8ec317aff28ac,Patrick Smith,open weight,1040.36
1994-03-11,ea0ad155451ed1f5,Ray Wizard,open weight,970.67
1994-03-11,429e7d3725852ce9,Royce Gracie,p4p,1076.07
1994-03-11,4565d435005319c0,Minoki Ichihara,p4p,974.03
1994-03-11,429e7d3725852ce9,Royce Gracie,open weight,1058.75
1994-03-11,4565d435005319c0,Minoki Ichihara,open weight,972.41
1994-03-11,6ceff86fae4f6b3b,Jason DeLucia,p4p,994.86
1994-03-11,7d5b12de1625984e,Scott Baker,p4p,966.33
1994-03-11,6ceff86fae4f6b3b,Jason DeLucia,open weight,993.22
1994-03-11,7d5b12de1625984e,Scott Baker,open weight,966.17
1994-03-11,749685d24e2cac50,Remco Pardoel,p4p,1014.42
1994-03-11,6e02c318762f52f1,Alberta Cerra Leon,p4p,968.19
1994-03-11,749685d24e2cac50,Remco Pardoel,open weight,1012.77
1994-03-11,6e02c318762f52f1,Alberta Cerra Leon,open weight,968.03
1994-03-11,a6c2f5381d575920,Orlando Wiet,p4p,988.99
1994-03-11,96087e90d900f0ef,Robert Lucarelli,p4p,965.77
1994-03-11,a6c2f5381d575920,Orlando Wiet,open weight,988.83
1994-03-11,96087e90d900f0ef,Robert Lucarelli,open weight,965.76
1994-03-11,c3c23c99477c041b,Frank Hamaker,p4p,1020.8
1994-03-11,505934897b8b4824,Thaddeus Luster,p4p,968.8
1994-03-11,c3c23c99477c041b,Frank Hamaker,open weight,1020.8
1994-03-11,505934897b8b4824,Thaddeus Luster,open weight,968.8
1994-03-11,319fa1bd3176bded,Johnny Rhodes,p4p,1010.3
1994-03-11,49590e0508b2c19f,David Levicki,p4p,967.8
1994-03-11,319fa1bd3176bded,Johnny Rhodes,open weight,1012.77
1994-03-11,49590e0508b2c19f,David Levicki,open weight,968.03
1994-03-11,46c8ec317aff28ac,Patrick Smith,p4p,1034.05
1994-03-11,be9d259be012e8a4,Scott Morris,p4p,988.88
1994-03-11,46c8ec317aff28ac,Patrick Smith,open weight,1059.99
1994-03-11,be9d259be012e8a4,Scott Morris,open weight,991.35
1994-09-09,ad047e3073a775f3,Steve Jennum,p4p,1020.8
1994-09-09,a2b06ca02bca14c0,Harold Howard,p4p,968.8
1994-09-09,ad047e3073a775f3,Steve Jennum,ufc 3 tournament title bout,1020.8
1994-09-09,a2b06ca02bca14c0,Harold Howard,ufc 3 tournament title bout,968.8
1994-09-09,63b65af1c5cb02cb,Ken Shamrock,p4p,1020.8
1994-09-09,6cbb7661c3258617,Felix Lee Mitchell,p4p,968.8
1994-09-09,63b65af1c5cb02cb,Ken Shamrock,open weight,1020.8
1994-09-09,6cbb7661c3258617,Felix Lee Mitchell,open weight,968.8
1994-09-09,a2b06ca02bca14c0,Harold Howard,p4p,991.46
1994-09-09,2e04a3b4a2011b97,Roland Payne,p4p,966.01
